subject,body
Meeting Tomorrow,We have an urgent meeting tomorrow at 10 AM
Win Lottery,Congratulations you won a lottery prize claim now
Big Discount,Flat 50 percent discount on all products limited time
Project Update,Please review the project update and send feedback
Free Cash Offer,Click here to win free cash reward now
Team Discussion,We have an important discussion regarding deadline
Job Opportunity,We have a new job opening for data analyst position
Event Invitation,You are invited to attend our upcoming tech event
Limited Offer,Grab this exclusive limited time deal now
Security Alert,Your account requires immediate verification
Client Meeting Reminder,Please attend the client meeting scheduled at 11 AM tomorrow
Project Deadline Alert,The final deadline for the project submission is this Friday
Urgent Task Assignment,You have been assigned an urgent task that needs completion today
Budget Approval Required,Kindly review and approve the project budget at the earliest
